"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","d80eb0e1774f",,,,"User:","root"
"Cmdline:","dstat -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20200507021811/aspcore/json/stats.txt",,,,"Date:","07 May 2020 02:21:03 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"net/eth0",,"paging",,"system",,"interrupts",,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loop0","loop1","loop2","loop3","loop4","loop5","loop6","loop7","sda"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","recv","send","in","out","int","csw","9","12","16","23","29","31","32","33","34","35","36","1m","5m","15m","used","free","buff","cach","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loop0:util","loop1:util","loop2:util","loop3:util","loop4:util","loop5:util","loop6:util","loop7:util","sda:util"
1588818063.542,7.010,2.109,86.556,4.325,0,160.517,0,50.257,0,2023.980,0,51.171,0,162.954,0,190.976,0,303.216,0,6982.656,0,408626.007,2514265.508,0,0,5375.960,80270.844,2391.163,7674.413,7.784,83.196,0.104,0.057,0.016,39.649,0.003,184.432,63.550,0.008,0.465,1.470,1.340,1.900,3737427968,200642560,307335168,4341682176,0,1,5.164,0.008,0,0.005,0,1.828,0,0.006,0,0.009,0,0.035,0,0.252,0,6.668,0,7.626,29.786,62390272,2085089280,0,13280,94748,0,0,0,0,0,1,0,47,1,1,0,0,1,0,0,4,0,0,1,0,0,44,0,44,2.072,2968.841,4217.122,4237.084,0.002,0.001,0.026,0.002,0.002,0.002,0.005,0.068,5.826
1588818064.543,8.449,3.909,80.706,6.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598016,372736,0,0,0,4096,5314,14803,6,0,0,0,0,77,0,278,136,0,0,1.470,1.340,1.900,3781320704,167874560,307294208,4328390656,0,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,71,62390272,2085089280,0,13408,94384,0,0,0,0,0,1,0,47,1,1,0,0,1,0,0,4,0,0,1,0,0,44,0,44,2,38457,34361,34408,0,0,0,0,0,0,0,0,13.600
1588818065.543,25.782,11.765,54.944,7.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2183168,159744,42,0,0,0,11732,66847,6,0,0,0,0,49,0,253,215,0,0,1.430,1.330,1.890,3743240192,203296768,307306496,4332711936,9,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9,62390272,2085089280,0,13376,94530,0,0,0,0,0,1,0,49,1,1,0,0,1,0,0,4,0,0,1,0,0,46,0,46,23,4877,5905,5880,0,0,0,0,0,0,0,0,14
1588818066.543,63.854,34.383,1.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32262,266717,12,0,0,0,0,0,0,238,89,0,0,1.430,1.330,1.890,3750301696,195940352,307306496,4333441024,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62390272,2085089280,0,13376,94558,0,0,0,0,0,1,0,49,1,1,0,0,1,0,0,4,0,0,1,0,0,46,0,46,0,2652,2980,300,0,0,0,0,0,0,0,0,0
1588818067.543,61.318,37.189,1.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35058,304354,6,0,0,0,0,0,0,229,67,0,0,1.430,1.330,1.890,3760857088,185384960,307306496,4333498368,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62390272,2085089280,0,13376,94559,0,0,0,0,0,1,0,49,1,1,0,0,1,0,0,4,0,0,1,0,0,46,0,46,0,3008,3031,764,0,0,0,0,0,0,0,0,0
1588818068.543,62.313,36.567,1.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,29628,484732,24,0,0,0,0,0,0,273,96,0,0,1.430,1.330,1.890,3768078336,178147328,307306496,4333129728,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62390272,2085089280,0,13376,94558,0,0,0,0,0,1,0,49,1,1,0,0,1,0,0,4,0,0,1,0,0,46,0,46,0,1462,2022,406,0,0,0,0,0,0,0,0,0.400
1588818069.543,61.230,37.767,1.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81920,209,0,0,0,29283,503918,6,0,0,0,0,1,0,199,122,0,0,1.430,1.330,1.890,3779444736,166518784,307306496,4341891072,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62390272,2085089280,0,13376,94616,0,0,0,0,0,1,0,49,1,1,0,0,1,0,0,4,0,0,1,0,0,46,0,46,0,671,3123,544,0,0,0,0,0,0,0,0,0
1588818070.543,48.319,28.892,22.540,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36864,110592,209,0,0,0,20883,582382,12,0,0,0,0,7,0,186,124,0,0,2.520,1.560,1.960,3778379776,167530496,307314688,4341960704,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,62390272,2085089280,0,13376,94601,0,0,0,0,0,1,0,49,1,1,0,0,1,0,0,4,0,0,1,0,0,46,0,46,1,945,933,1289,0,0,0,0,0,0,0,0,2
1588818071.544,1.385,0.882,97.481,0.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,0,373,0,0,0,1578,3825,6,0,0,0,0,1,0,222,102,0,0,2.520,1.560,1.960,3774693376,170954752,307314688,4338253824,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62390272,2085089280,0,13376,94602,0,0,0,0,0,1,0,49,1,1,0,0,1,0,0,4,0,0,1,0,0,46,0,46,0,154,389,1236,0,0,0,0,0,0,0,0,0.800
1588818072.543,2.276,0.885,96.713,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,0,164,0,0,0,1761,4596,6,0,0,0,0,1,0,201,115,0,0,2.520,1.560,1.960,3771088896,173772800,307314688,4334653440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62390272,2085089280,0,13376,94610,0,0,0,0,0,1,0,49,1,1,0,0,1,0,0,4,0,0,1,0,0,46,0,46,0,114,534,1275,0,0,0,0,0,0,0,0,0.800
1588818073.543,3.145,1.006,95.723,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759,5647,6,0,0,0,0,0,0,184,133,0,0,2.520,1.560,1.960,3772317696,172544000,307314688,4334653440,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62390272,2085089280,0,13376,94608,0,0,0,0,0,1,0,49,1,1,0,0,1,0,0,4,0,0,1,0,0,46,0,46,0,642,610,722,0,0,0,0,0,0,0,0,0
1588818074.543,1.761,1.006,97.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,2064,3826,30,372,0,0,0,0,0,163,121,0,0,2.520,1.560,1.960,3771920384,172941312,307314688,4334555136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62390272,2085089280,0,13376,94574,0,0,0,0,0,1,0,49,1,1,0,0,1,0,0,4,0,0,1,0,0,46,0,46,0,391,503,798,0,0,0,0,0,0,0,0,0
