"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","d80eb0e1774f",,,,"User:","root"
"Cmdline:","dstat -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20200507021811/aspcore/plaintext/stats.txt",,,,"Date:","07 May 2020 02:23:18 UTC"
"epoch","total cpu usage",,,,,"dsk/loop0",,"dsk/loop1",,"dsk/loop2",,"dsk/loop3",,"dsk/loop4",,"dsk/loop5",,"dsk/loop6",,"dsk/loop7",,"dsk/sda",,"net/eth0",,"paging",,"system",,"interrupts",,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/loop0",,"io/loop1",,"io/loop2",,"io/loop3",,"io/loop4",,"io/loop5",,"io/loop6",,"io/loop7",,"io/sda",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"loop0","loop1","loop2","loop3","loop4","loop5","loop6","loop7","sda"
"epoch","usr","sys","idl","wai","stl","dsk/loop0:read","dsk/loop0:writ","dsk/loop1:read","dsk/loop1:writ","dsk/loop2:read","dsk/loop2:writ","dsk/loop3:read","dsk/loop3:writ","dsk/loop4:read","dsk/loop4:writ","dsk/loop5:read","dsk/loop5:writ","dsk/loop6:read","dsk/loop6:writ","dsk/loop7:read","dsk/loop7:writ","dsk/sda:read","dsk/sda:writ","recv","send","in","out","int","csw","9","12","16","23","29","31","32","33","34","35","36","1m","5m","15m","used","free","buff","cach","run","blk","new","io/loop0:read","io/loop0:writ","io/loop1:read","io/loop1:writ","io/loop2:read","io/loop2:writ","io/loop3:read","io/loop3:writ","io/loop4:read","io/loop4:writ","io/loop5:read","io/loop5:writ","io/loop6:read","io/loop6:writ","io/loop7:read","io/loop7:writ","io/sda:read","io/sda:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","loop0:util","loop1:util","loop2:util","loop3:util","loop4:util","loop5:util","loop6:util","loop7:util","sda:util"
1588818198.623,7.903,2.637,85.215,4.245,0,157.356,0,49.267,0,1984.120,0,50.163,0,159.745,0,187.215,0,297.245,0,6845.139,0,402752.248,2469796.292,0,0,5332.789,79194.007,2868.697,10210.899,7.822,82.950,0.101,0.056,0.015,39.162,0.003,184.669,64.696,0.008,0.456,13.980,6.370,3.690,3860606976,189476864,308236288,4241539072,0,3,5.116,0.008,0,0.005,0,1.792,0,0.006,0,0.009,0,0.035,0,0.247,0,6.536,0,7.503,29.433,54001664,2093477888,0,13472,91914,0,0,0,0,0,1,0,49,1,1,0,0,1,0,0,0,0,0,1,0,0,46,0,46,2.039,2943.248,4231.486,4251.004,0.002,0.001,0.026,0.002,0.002,0.002,0.005,0.067,5.748
1588818199.624,1.884,1.005,68.090,29.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,1286144,0,0,0,0,1697,3423,12,0,0,0,0,80,0,146,94,0,0,13.980,6.370,3.690,3861069824,188850176,308248576,4242550784,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,73,54001664,2093477888,0,13472,91929,0,0,0,0,0,1,0,49,1,1,0,0,1,0,0,0,0,0,1,0,0,46,0,46,0,638,721,501,0,0,0,0,0,0,0,0,4.800
1588818200.624,3.141,2.136,72.613,22.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98304,1454080,0,0,0,0,2776,6193,6,0,0,0,0,252,0,169,95,0,0,13.020,6.290,3.680,3859951616,189927424,308285440,4242677760,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,244,54001664,2093477888,0,13472,91863,0,0,0,0,0,1,0,49,1,1,0,0,1,0,0,0,0,0,1,0,0,46,0,46,1,1607,1344,1509,0,0,0,0,0,0,0,0,10.800
1588818201.624,2.513,1.508,74.121,21.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57344,389120,0,0,0,0,2389,5523,6,0,0,0,0,63,0,198,94,0,0,13.020,6.290,3.680,3860475904,188968960,308322304,4242587648,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,54001664,2093477888,0,13472,91842,0,0,0,0,0,1,0,53,1,1,0,0,1,0,0,0,0,0,1,0,0,50,0,50,2,2248,1701,1648,0,0,0,0,0,0,0,0,7.200
1588818202.624,5.584,3.934,79.569,10.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089536,643072,209,0,0,4096,5056,13036,6,0,0,0,0,101,0,233,124,0,0,13.020,6.290,3.680,3905937408,163590144,308273152,4222365696,1,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,74,54001664,2093477888,0,13472,87750,0,0,0,0,0,1,0,53,1,1,0,0,1,0,0,0,0,0,1,0,0,50,0,50,2,38301,34279,36244,0,0,0,0,0,0,0,0,16
1588818203.624,31.539,18.773,40.926,8.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692224,372736,251,0,0,0,15171,162591,12,0,0,0,0,46,0,168,75,0,0,13.020,6.290,3.680,3864195072,203935744,308305920,4223623168,12,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,54001664,2093477888,0,13472,87936,0,0,0,0,0,1,0,55,1,1,0,0,1,0,0,0,0,0,1,0,0,52,0,52,10,4682,4819,6147,0,0,0,0,0,0,0,0,10.800
1588818204.624,60.576,37.672,1.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229376,0,209,0,0,0,33390,300738,6,0,0,0,0,3,0,171,101,0,0,13.020,6.290,3.680,3863769088,201191424,308305920,4224565248,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,54001664,2093477888,0,13472,91996,0,0,0,0,0,1,0,55,1,1,0,0,1,0,0,0,0,0,1,0,0,52,0,52,8,298,1252,391,0,0,0,0,0,0,0,0,1.200
1588818205.624,58.625,39.500,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,31949,343378,6,0,0,0,0,0,0,195,81,0,0,13.260,6.460,3.750,3866902528,197795840,308305920,4230086656,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54001664,2093477888,0,13440,91984,0,0,0,0,0,1,0,55,1,1,0,0,1,0,0,0,0,0,1,0,0,52,0,52,0,1393,2454,1556,0,0,0,0,0,0,0,0,0
1588818206.624,57.935,40.932,1.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,0,209,0,0,0,32605,357965,24,0,0,0,0,1,0,199,116,0,0,13.260,6.460,3.750,3862458368,201715712,308305920,4226416640,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54001664,2093477888,0,13440,91997,0,0,0,0,0,1,0,55,1,1,0,0,1,0,0,0,0,0,1,0,0,52,0,52,0,206,509,1491,0,0,0,0,0,0,0,0,0.800
