Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,CountToAppend,Mean,Error,StdDev,Ratio,RatioSD,Rank,Gen 0,Gen 1,Gen 2,Allocated
StringInterpolationPatternAllStrings,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1,424.0 ns,5.85 ns,5.47 ns,0.98,0.01,1,0.9775,0.0000,0.0000,160 B
StringConcatPatternSomeStrings,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1,424.8 ns,2.94 ns,2.61 ns,0.98,0.01,1,0.9775,0.0000,0.0000,160 B
StringConcatPattern,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1,431.4 ns,3.69 ns,3.45 ns,1.00,0.00,2,0.9775,0.0000,0.0000,160 B
StringFormatPattern,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1,"1,390.2 ns",9.97 ns,9.33 ns,3.22,0.03,3,0.9766,0.0000,0.0000,160 B
StringInterpolationPatternSomeStrings,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1,"1,712.5 ns",40.78 ns,45.33 ns,3.97,0.12,4,1.0986,0.0000,0.0000,180 B
StringBuilderPattern,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1,"2,692.5 ns",31.54 ns,29.50 ns,6.24,0.09,5,3.7117,0.0000,0.0000,608 B
StringConcatPatternSomeStrings,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,799.3 ns,4.62 ns,4.10 ns,0.98,0.01,1,1.6127,0.0000,0.0000,264 B
StringInterpolationPatternAllStrings,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,800.9 ns,4.52 ns,4.01 ns,0.99,0.01,1,1.6127,0.0000,0.0000,264 B
StringConcatPattern,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,812.5 ns,4.73 ns,3.95 ns,1.00,0.00,2,1.6127,0.0000,0.0000,264 B
StringFormatPattern,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,"1,613.5 ns",7.00 ns,6.21 ns,1.99,0.01,3,1.4153,0.0000,0.0000,232 B
