Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,find,Mean,Error,StdDev,Median,Gen 0,Gen 1,Gen 2,Allocated
FindWithForLoop,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Person9,270.6 ns,0.40 ns,0.37 ns,270.5 ns,0.0000,0.0000,0.0000,0 B
FindWithForEachLoop,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Person9,297.1 ns,0.20 ns,0.19 ns,297.0 ns,0.0000,0.0000,0.0000,0 B
FindWithForEachLoop,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Person100,964.8 ns,1.16 ns,1.08 ns,965.2 ns,0.0000,0.0000,0.0000,0 B
FindWithForLoop,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Person100,"1,066.0 ns",0.95 ns,0.84 ns,"1,066.5 ns",0.0000,0.0000,0.0000,0 B
FindWithForLoop,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Person42,"1,088.9 ns",0.88 ns,0.74 ns,"1,088.8 ns",0.0000,0.0000,0.0000,0 B
FindWithForEachLoop,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Person42,"1,094.8 ns",1.33 ns,1.11 ns,"1,094.6 ns",0.0000,0.0000,0.0000,0 B
FindWithLinqFirstOrDefault,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Person9,"1,106.7 ns",3.49 ns,3.26 ns,"1,105.8 ns",0.3662,0.0000,0.0000,60 B
FindWithLinqFind,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Person9,"1,728.2 ns",12.78 ns,11.33 ns,"1,725.7 ns",2.9068,0.0000,0.0000,476 B
FindWithForLoop,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Person75,"2,061.2 ns",1.72 ns,1.61 ns,"2,060.9 ns",0.0000,0.0000,0.0000,0 B
FindWithForEachLoop,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,RyuJit,Arm,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,False,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Person75,"2,071.0 ns",1.41 ns,1.25 ns,"2,070.5 ns",0.0000,0.0000,0.0000,0 B
